Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization
1,10472,2.999739,1.209233,64.26309,996,9968,3.006731,0.318446,58.290805,492,9476,3.006123,2.921987,0.724881,0.518947,0.990189
17,7230,2.999072,0.244891,20.429593,50,7200,3.009671,0.038199,1.24929,20,7180,3.000949,0.843106,0.501262,0.376219,0.748928
15,11010,2.998696,1.833628,82.412861,1511,10830,3.001219,0.448267,72.663169,1331,9499,2.998492,2.885018,0.762568,0.564284,0.990192
3,1512,3.000585,0,8.015332,10,1504,2.998617,0,15.763854,2,1502,3.014655,0,0.10495,0.078297,0.157391
9,6008,2.994033,0.063699,36.432399,496,5528,2.992884,0.007295,0.218337,16,5512,3.007424,0.370104,0.415612,0.286846,0.575635
17,11407,2.995716,3.654209,125.159994,1890,12172,3.001277,0.658876,144.085433,2655,9517,2.998261,2.86149,0.790149,0.632552,0.991732
5,3515,2.99519,0.00086,0.299202,19,3670,2.993816,0,43.151466,174,3496,3.007229,0.039794,0.243566,0.190573,0.365722
18,9590,3.003454,0.984099,17.834852,404,9688,3.000814,0.22989,31.016411,502,9186,2.99054,2.551811,0.665109,0.504722,0.954741
4,2788,3.009212,0,0.849924,12,2940,2.988474,0,41.311817,164,2776,2.999809,0.002324,0.194049,0.15197,0.289522
11,11280,3.001528,1.908679,105.050904,1776,11728,2.996695,0.617365,122.064735,2224,9504,2.989066,2.836809,0.780336,0.610027,0.987523
5,3705,3.005085,0.000202,8.187809,30,3705,2.993056,0,7.997181,30,3675,3.010126,0.024563,0.257511,0.192529,0.384832
1,703,3.023293,0,0.89619,4,732,2.993117,0,37.411757,33,699,2.986084,0,0.049158,0.038,0.072654
2,1502,2.998988,0,51.712182,84,1418,2.99198,0,0.027443,0,1418,3.009187,0,0.103939,0.073657,0.148161
15,10425,2.995938,1.775223,52.701702,894,11415,3.002346,0.694801,111.836777,1884,9531,3.00028,2.894686,0.720976,0.595026,0.993976
11,9898,3.001282,1.030313,41.703099,401,10010,3.000926,0.351045,43.36148,513,9497,2.994039,2.874956,0.686294,0.521118,0.988449
12,9228,2.995272,0.870756,51.735143,525,8748,2.996826,0.170714,6.11639,45,8703,2.997418,2.183551,0.63983,0.455074,0.90672
8,10332,3.004454,1.332687,56.170358,1060,9394,2.995679,0.274491,14.151642,122,9272,2.993191,2.552369,0.716379,0.488302,0.964621
6,4362,3.005427,0.003486,22.713745,81,4308,2.999138,0,8.751655,27,4281,3.001083,0.064587,0.302777,0.224167,0.446635
13,14098,2.999488,9.237565,210.989739,4540,13623,2.998613,1.419132,189.612464,4065,9558,2.996591,2.921643,0.950432,0.709215,0.995669
2,1456,2.985553,0,0.0974,5,1528,2.992074,0,38.785816,77,1451,2.991673,0,0.100624,0.079289,0.150944
1,2064,3.000085,0,3.083915,54,2013,3.005022,0,22.563552,3,2010,3.008923,0,0.143337,0.104874,0.209998
17,9386,2.998083,1.137766,11.824256,187,9945,3.001573,0.227035,50.679992,746,9199,2.995424,2.574357,0.649323,0.51778,0.95774
18,13662,3.003116,9.888229,224.767066,4119,12780,3.007282,0.950449,173.823163,3237,9543,3.001059,2.91389,0.938356,0.666295,0.995499
9,11713,2.995346,4.390915,143.715307,2179,12937,2.999276,0.846718,210.052674,3403,9534,3.000383,2.891026,0.807467,0.670659,0.994322
18,13122,2.995664,8.399892,209.148971,3561,13104,3.001677,1.500619,192.497706,3543,9561,3.001792,2.937294,0.906749,0.682882,0.997696
19,8892,3.001664,0.733576,24.60115,192,8700,3.001788,0.200633,5.837063,0,8700,2.992589,2.058325,0.616782,0.453395,0.904011
3,2196,2.991796,0,15.18121,15,2196,3.005723,0,7.804328,15,2181,3.007379,0.000125,0.1517,0.11425,0.227969
19,12654,2.991382,4.862073,191.362488,3173,14079,3.00062,1.285552,223.270178,4598,9481,3.001231,2.87079,0.873422,0.732627,0.988984
19,11696,3.001778,2.888452,121.874756,2125,12410,2.998173,0.866239,145.347183,2839,9571,2.993823,2.924311,0.810706,0.64352,0.995848
11,7080,3.005726,0.25377,3.17859,55,7450,2.99699,0.093845,27.89701,425,7025,2.999892,0.777939,0.491714,0.387563,0.732783
11,2924,3.004579,0,24.74736,76,2856,3.016633,0,2.136328,8,2848,3.021337,0.007681,0.203091,0.149575,0.298855
11,8811,3.006922,0.481676,91.288671,1074,7766,2.99625,0.106633,1.997867,29,7737,3.006797,1.547528,0.611603,0.403828,0.808773
14,9451,2.999979,0.868867,17.722483,406,9165,2.992084,0.258399,10.165178,120,9045,2.991635,2.328501,0.655955,0.47521,0.940592
10,7420,3.010337,0.377711,28.926568,152,7350,2.995242,0.051844,6.228814,82,7268,2.99868,1.230175,0.516427,0.381311,0.758133
20,13460,2.997222,8.794493,193.178119,3936,14200,2.997268,2.31932,234.279404,4676,9524,2.999977,2.903151,0.914597,0.737892,0.993123
10,7040,3.002859,0.305277,1.499726,69,7250,3.004007,0.051088,59.694919,279,6971,3.006355,0.907197,0.488515,0.378119,0.728688
16,2964,3.005963,0,58.088738,156,2820,3.008233,0,0.35903,12,2808,2.992802,0.005613,0.205954,0.147074,0.2921
13,5033,2.988698,0.028662,0.549411,35,5355,2.994609,0.007202,52.480681,357,4998,3.00286,0.169625,0.347378,0.27837,0.521967
11,8151,3.000618,0.479369,6.721091,122,8041,2.994428,0.078307,13.435598,12,8029,2.998748,1.54487,0.564705,0.418024,0.836368
