Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
8,3776,157,9.003371,1.013908,0.000001,5.418182,0.522684,0.390354,0.775911,,,,,,,,,,,,
14,6398,267,8.979747,10.11032,0.00005,208.082736,0.887585,0.663685,0.995939,,,,,,,,,,,,
11,3728,155,9.017163,0.757451,0.000008,3.048745,0.519197,0.386767,0.770213,,,,,,,,,,,,
12,5520,230,8.973169,2.904039,0.00002,114.388264,0.764729,0.57219,0.982467,,,,,,,,,,,,
5,2370,99,8.997517,0.069585,0,0.42354,0.328326,0.246531,0.492455,,,,,,,,,,,,
17,8143,339,8.989789,84.56883,0.000052,240.926505,0.999595,0.748735,0.99579,,,,,,,,,,,,
17,8279,345,9.000417,122.212786,0.000118,227.115,0.992856,0.742784,0.996021,,,,,,,,,,,,
7,3563,148,8.988901,0.413837,0,2.139567,0.493374,0.370083,0.737828,,,,,,,,,,,,
17,8279,345,8.988742,98.883723,0.00002,225.373773,0.99015,0.740722,0.993823,,,,,,,,,,,,
1,493,21,8.999612,0,0,0,0.068752,0.051355,0.101645,,,,,,,,,,,,
8,3800,158,8.997335,0.685725,0.000005,3.229078,0.526994,0.395356,0.783963,,,,,,,,,,,,
8,3944,164,9.011238,1.024137,0.000006,4.522888,0.54717,0.409399,0.813454,,,,,,,,,,,,
13,6678,278,9.006387,34.184267,0.00005,174.223851,0.92902,0.692359,0.98552,,,,,,,,,,,,
10,4790,200,9.012394,2.367098,0.00005,34.875979,0.665189,0.497739,0.969701,,,,,,,,,,,,
15,6690,279,9.003471,13.028107,0.000037,196.316495,0.926121,0.696767,0.993853,,,,,,,,,,,,
2,956,40,8.989785,0,0,0.002356,0.132592,0.098819,0.197249,,,,,,,,,,,,
15,3768,157,8.976563,0.536335,0,2.491791,0.522425,0.391331,0.778483,,,,,,,,,,,,
11,7939,331,9.001783,96.830584,0.000148,225.302158,0.989734,0.740929,0.99603,,,,,,,,,,,,
5,2380,99,9.002072,0.054086,0,0.407971,0.330383,0.245334,0.489338,,,,,,,,,,,,
15,6762,282,9.000313,15.01814,0.00007,184.985724,0.92574,0.692863,0.995756,,,,,,,,,,,,
11,1856,77,8.984377,0.016016,0,0.11354,0.257938,0.192221,0.386516,,,,,,,,,,,,
16,8048,335,8.991997,83.272243,0.000167,234.287982,0.997549,0.745946,0.996021,,,,,,,,,,,,
5,2485,104,8.997222,0.059601,0,0.415829,0.342961,0.25741,0.512084,,,,,,,,,,,,
1,431,18,8.954249,0,0,0,0.059771,0.044539,0.088929,,,,,,,,,,,,
2,908,38,8.999154,0,0,0.001291,0.12572,0.094952,0.18794,,,,,,,,,,,,
14,7605,317,9.002554,51.873253,0.000023,236.379127,0.99864,0.747295,0.996112,,,,,,,,,,,,
14,6496,271,8.990294,13.557109,0.000006,201.91094,0.883321,0.659588,0.993197,,,,,,,,,,,,
10,5328,222,8.989253,5.187233,0.00008,43.766819,0.728456,0.543505,0.97763,,,,,,,,,,,,
14,7364,307,9.00712,32.947665,0.000207,225.9617,0.986775,0.738936,0.991182,,,,,,,,,,,,
11,2814,117,9.003938,0.207995,0,0.92131,0.389117,0.29427,0.586337,,,,,,,,,,,,
